,0
0,https://www.youtube.com/channel/UCasU7mePJH0W0uzkVle9XGQ
1,https://www.youtube.com/watch?v=ji8DuqqbnI8
2,https://www.youtube.com/watch?v=7-1b5QYTXtY
3,https://www.youtube.com/watch?v=LmBj0rBrcaw
4,https://www.youtube.com/watch?v=WLMD11W_dJ8
5,https://www.youtube.com/watch?v=WjvJyvkTQv8
6,https://www.youtube.com/watch?v=Oo-ZxteqQvs
7,https://www.youtube.com/watch?v=JvwzGtzSRP4
8,https://www.youtube.com/watch?v=54eA7iIgtJE
9,https://www.youtube.com/watch?v=8CqX8oekwJI
10,https://www.youtube.com/watch?v=5_eO44-SFnA
11,https://www.youtube.com/watch?v=yjtBmx-lM84
12,https://www.youtube.com/watch?v=p3ybNs34Jec
13,https://www.youtube.com/watch?v=jxGlnMymyZk
14,https://www.youtube.com/watch?v=sHXQ5JCbmJE
15,https://www.youtube.com/watch?v=OGsQBGhs49M
16,https://www.youtube.com/watch?v=cMUDhyOMXxQ
17,https://www.youtube.com/watch?v=cxAKzW7Vpmg
18,https://www.youtube.com/watch?v=efUPsPmHYW8
19,https://www.youtube.com/watch?v=Cc2gnsFmRp0
20,https://www.youtube.com/watch?v=fq71XWQgNNg
21,https://www.youtube.com/watch?v=F7Ti156YCkY
22,https://www.youtube.com/watch?v=D9axn_nhoOE
23,https://www.youtube.com/watch?v=Kpk8cdhYUPk
24,https://www.youtube.com/watch?v=kHuO9h-2ULI
25,https://www.youtube.com/watch?v=GgLTVKujXHQ
26,https://www.youtube.com/watch?v=eKD_9cNDH20
27,https://www.youtube.com/watch?v=VA7V57EnEgU
28,https://www.youtube.com/watch?v=T__MuoNTxWQ
29,https://www.youtube.com/watch?v=zQqmvihb304
30,https://www.youtube.com/watch?v=FFUnk-4tUlo
31,https://www.youtube.com/watch?v=VeI1Q-aR7gg
32,https://www.youtube.com/watch?v=aCbJO6ReJeo
33,https://www.youtube.com/watch?v=9zHdc7_9fic
34,https://www.youtube.com/watch?v=uimBrkMY4SQ
35,https://www.youtube.com/watch?v=2NOJnRb-L5M
36,https://www.youtube.com/watch?v=yVSiozobr3I
37,https://www.youtube.com/watch?v=SfyWyMMj148
38,https://www.youtube.com/watch?v=Hayky-MUPfA
39,https://www.youtube.com/watch?v=XpA3DX8IXus
40,https://www.youtube.com/watch?v=c0yjHltahEw
41,https://www.youtube.com/watch?v=F6yUtY0AA28
42,https://www.youtube.com/watch?v=vVcX0pcogYA
43,https://www.youtube.com/watch?v=v05zrwCkIjA
44,https://www.youtube.com/watch?v=VuydlEY4jEA
45,https://www.youtube.com/watch?v=o4prUkvvtNc
46,https://www.youtube.com/watch?v=XXvKP4aXHDY
47,https://www.youtube.com/watch?v=CnW9MWFKC3E
48,https://www.youtube.com/watch?v=hvGAxMM-Zvc
49,https://www.youtube.com/watch?v=DL6NhuRMlP4
50,https://www.youtube.com/watch?v=yy_FyN4vrPk
51,https://www.youtube.com/watch?v=gAvN_DujAo4
52,https://www.youtube.com/watch?v=T2xpjLyaOw8
53,https://www.youtube.com/watch?v=LzTYuW_SAdM
54,https://www.youtube.com/watch?v=_1KKeH2lWk8
55,https://www.youtube.com/watch?v=dt7Hsq49mxk
56,https://www.youtube.com/watch?v=2CgYdxKsXCc
57,https://www.youtube.com/watch?v=Qn4xZJocsW4
58,https://www.youtube.com/watch?v=4z6BrFuHFTY
59,https://www.youtube.com/watch?v=odiZW0h_vhQ
60,https://www.youtube.com/watch?v=HJeB1_suBrc
61,https://www.youtube.com/watch?v=39AHvrlq_E0
62,https://www.youtube.com/watch?v=WV-AJH-kXds
63,https://www.youtube.com/watch?v=iRuewO_6Rh8
64,https://www.youtube.com/watch?v=9OJx7Lerro8
65,https://www.youtube.com/watch?v=HiOpUkomCHg
66,https://www.youtube.com/watch?v=iOVfQWrH8oQ
67,https://www.youtube.com/watch?v=isLax-AZNr4
