# ----------------------------------------
# Todos os dados do website
# Termos de pesquisa
# 20210801-20211107
# ----------------------------------------

Termo de pesquisa,Total de pesquisas exclusivas,Visualizações de página dos resultados/Pesquisa,Porcentagem de saídas de pesquisa,Porcentagem de refinamentos de pesquisa,Tempo depois da pesquisa,Média de páginas por visita
Kit Super,8,"1,75","50,00%","0,00%",00:01:58,"4,75"
Low,4,"1,25","0,00%","20,00%",00:02:21,"4,00"
Creme de amendoim,3,"1,00","66,67%","0,00%",00:00:23,"1,33"
Kit,3,"1,00","0,00%","0,00%",00:05:01,"9,00"
Pasta,3,"6,00","33,33%","0,00%",01:13:28,"63,00"
pastel,3,"2,67","33,33%","12,50%",00:01:51,"1,67"
quiche,3,"1,67","33,33%","40,00%",00:04:34,"3,67"
salgado,3,"1,00","0,00%","100,00%",00:00:07,"0,00"
snack,3,"2,33","0,00%","14,29%",00:20:58,"2,67"
""">><img src=x onerror=confirm('XSS')>",2,"1,00","100,00%","0,00%",00:00:00,"0,00"
,208,"1,32","15,87%","22,99%",00:10:30,"6,56"

Índice do mês,Total de pesquisas exclusivas
0000,0
0001,0
0002,99
0003,109
,208
