Termo de Pesquisa,Total de pesquisas exclusivas,Visualizações de página dos resultados/Pesquisa,Porcentagem de saídas de pesquisa,Porcentagem de refinamentos de pesquisa,Tempo depois da pesquisa,Média de páginas por visita,,,,
Kit Super,8,1,75,50,00%,0,00%,00:01:58,4,75
Low,4,1,25,0,00%,20,00%,00:02:21,4,00
Creme de amendoim,3,1,00,66,67%,0,00%,00:00:23,1,33
Kit,3,1,00,0,00%,0,00%,00:05:01,9,00
Pasta,3,6,00,33,33%,0,00%,01:13:28,63,00
pastel,3,2,67,33,33%,12,50%,00:01:51,1,67
quiche,3,1,67,33,33%,40,00%,00:04:34,3,67
salgado,3,1,00,0,00%,100,00%,00:00:07,0,00
snack,3,2,33,0,00%,14,29%,00:20:58,2,67
>><img src=x onerror=confirm('XSS')>,2,1,00,100,00%,0,00%,00:00:00,0,00
</script><script>alert('XSS')</script >,2,1,00,100,00%,0,00%,00:00:00,0,00
Almôndegas,2,1,00,0,00%,50,00%,00:11:30,13,50
Barra,2,1,00,50,00%,0,00%,00:00:05,0,50
Bendu,2,1,00,0,00%,50,00%,00:06:05,8,50
Bolo hue,2,1,50,0,00%,0,00%,00:17:14,15,50
Detox,2,2,00,50,00%,0,00%,00:01:30,1,50
doces,2,1,00,50,00%,0,00%,00:00:01,0,50
Frango gratinado,2,1,00,50,00%,0,00%,00:02:30,8,00
Fricassê,2,1,00,50,00%,0,00%,00:01:29,5,50
granola,2,1,00,0,00%,50,00%,00:44:02,9,50
Granola,2,1,50,50,00%,0,00%,00:46:46,18,00
Kit fit,2,1,00,0,00%,0,00%,00:17:18,7,00
lanche,2,1,00,0,00%,0,00%,00:01:05,3,00
Low carb,2,1,50,0,00%,0,00%,00:31:01,7,00
Lowcarb,2,1,50,50,00%,33,33%,00:00:51,1,00
massa,2,1,00,0,00%,100,00%,00:00:42,0,00
Massa,2,1,50,0,00%,66,67%,00:01:36,3,00
programa,2,1,00,50,00%,0,00%,00:00:14,0,50
Quiche,2,1,50,0,00%,0,00%,00:23:58,8,00
suco,2,1,00,0,00%,50,00%,00:01:15,3,50
Suco,2,1,50,0,00%,0,00%,00:16:21,9,00
tilapia,2,1,50,0,00%,0,00%,00:33:03,3,50
><script>alert('XSS')</script>,1,1,00,100,00%,0,00%,00:00:00,0,00
><script>alert(/XSS/)</script>,1,1,00,100,00%,0,00%,00:00:00,0,00
><svg/onload=prompt('XSS')>,1,1,00,100,00%,0,00%,00:00:00,0,00
>><img src=x onerror=confirm(/XSS/)>,1,1,00,100,00%,0,00%,00:00:00,0,00
´massa,1,1,00,0,00%,100,00%,00:00:08,0,00
alfajor,1,1,00,0,00%,0,00%,00:26:49,3,00
Almoço,1,1,00,0,00%,0,00%,00:02:02,3,00
almonde,1,1,00,0,00%,0,00%,00:07:23,3,00
almondengas,1,1,00,0,00%,0,00%,00:06:02,5,00
Artesanal alimentos - Croissant Creme de Brie com Damasco (6 unidades),1,1,00,0,00%,0,00%,01:32:38,23,00
Baroa,1,1,00,0,00%,0,00%,00:05:07,6,00
Barra de cereal,1,1,00,100,00%,0,00%,00:00:00,0,00
barrinha,1,1,00,0,00%,0,00%,00:25:38,2,00
Bebeu,1,1,00,0,00%,100,00%,00:00:07,0,00
bendu,1,2,00,0,00%,0,00%,00:08:14,12,00
bobo,1,2,00,0,00%,50,00%,00:20:22,11,00
Bobó,1,1,00,0,00%,100,00%,00:07:32,2,00
Bold,1,1,00,0,00%,0,00%,00:19:06,20,00
bolo,1,1,00,0,00%,0,00%,00:11:44,1,00
Bolo,1,1,00,0,00%,0,00%,00:08:13,14,00
bolo],1,1,00,0,00%,100,00%,00:00:05,0,00
Bombom,1,1,00,0,00%,100,00%,00:01:54,5,00
bombom vegano,1,1,00,100,00%,0,00%,00:00:00,0,00
brownie,1,2,00,0,00%,0,00%,00:23:38,15,00
Brownie,1,1,00,0,00%,100,00%,00:09:23,4,00
burguer,1,1,00,0,00%,100,00%,00:00:21,0,00
Capuccino,1,1,00,0,00%,0,00%,00:50:30,30,00
Chips,1,1,00,0,00%,0,00%,00:01:44,9,00
CHIPS,1,2,00,0,00%,0,00%,01:05:39,39,00
Chips mix,1,1,00,0,00%,0,00%,00:02:16,10,00
Choco,1,1,00,0,00%,0,00%,00:02:13,4,00
chocolate zero açucar,1,1,00,0,00%,0,00%,00:03:15,4,00
Clube,1,1,00,100,00%,0,00%,00:00:00,0,00
cookies,1,1,00,0,00%,100,00%,00:00:28,0,00
Coxinha,1,1,00,0,00%,0,00%,00:00:07,1,00
Creme,1,2,00,0,00%,50,00%,00:01:35,2,00
croissant,1,1,00,0,00%,100,00%,00:00:53,0,00
crossaint frango,1,1,00,0,00%,100,00%,00:00:19,1,00
Cubinhos,1,2,00,0,00%,50,00%,00:05:51,14,00
cupom,1,1,00,0,00%,0,00%,00:37:28,5,00
Cupom,1,1,00,0,00%,0,00%,00:11:39,8,00
detox,1,1,00,0,00%,0,00%,00:41:40,14,00
Doce,1,1,00,0,00%,100,00%,00:00:11,0,00
Doces Fit,1,1,00,0,00%,100,00%,00:01:42,5,00
Entrega em barra mansa?,1,2,00,0,00%,0,00%,00:03:49,6,00
escondidinho,1,1,00,0,00%,0,00%,00:00:06,1,00
Escondidinho de Aipim com Carne Moída,1,1,00,0,00%,0,00%,00:04:47,1,00
Farinha,1,1,00,0,00%,100,00%,00:04:18,0,00
Filezinho,1,1,00,0,00%,100,00%,00:15:19,18,00
filézinho,1,1,00,0,00%,0,00%,00:00:05,1,00
Fit,1,1,00,0,00%,0,00%,00:00:06,1,00
Frango,1,1,00,100,00%,0,00%,00:00:40,0,00
FRango,1,1,00,0,00%,100,00%,00:02:14,1,00
fricass,1,1,00,0,00%,0,00%,00:00:10,1,00
Fricasse,1,2,00,0,00%,0,00%,00:18:33,11,00
Ihame,1,1,00,0,00%,0,00%,00:23:35,6,00
